month,ic,factor,horizon
2026-07,-0.20343801617589652,bias20,20
2026-08,-0.22582317863624576,bias20,20
2025-01,-0.14594957983193277,rsi14,20
2025-02,-0.06262757094306,rsi14,20
2025-03,-0.03025438746927342,rsi14,20
2025-04,-0.2763837750097899,rsi14,20
2025-05,0.049699747239793375,rsi14,20
2025-06,0.02946938775510204,rsi14,20
2025-07,0.02021932986999823,rsi14,20
2025-08,0.05953748230266996,rsi14,20
2025-09,-0.08226902757368332,rsi14,20
2025-10,-0.10922491100896266,rsi14,20
2025-11,-0.0014029885319016202,rsi14,20
2025-12,0.1615315185357547,rsi14,20
2026-01,0.1852087114337568,rsi14,20
2026-02,-0.09716563576428756,rsi14,20
2026-03,-0.1519772776309918,rsi14,20
2026-04,0.08988458594761088,rsi14,20
2026-05,0.08770849537637197,rsi14,20
2026-06,-0.1378723903354445,rsi14,20
2026-07,-0.3497506627925338,rsi14,20
2026-08,-0.21595777872501243,rsi14,20
2025-01,0.003783913565426186,kdj_j,20
2025-02,0.036414679201092086,kdj_j,20
2025-03,0.13218315897787686,kdj_j,20
2025-04,-0.10754895641452011,kdj_j,20
2025-05,-0.006849198621863444,kdj_j,20
2025-06,-0.05178871548619448,kdj_j,20
2025-07,0.011433695155037542,kdj_j,20
2025-08,0.03382786913597759,kdj_j,20
2025-09,-0.07169580948439708,kdj_j,20
2025-10,0.01191334699124732,kdj_j,20
2025-11,-0.03979800380961126,kdj_j,20
2025-12,0.13223694213883694,kdj_j,20
2026-01,0.05921376717656209,kdj_j,20
2026-02,-0.2493055298344383,kdj_j,20
2026-03,-0.021208479761521605,kdj_j,20
2026-04,0.11228847080429274,kdj_j,20
2026-05,0.04535404603462679,kdj_j,20
2026-06,-0.1296529501092633,kdj_j,20
2026-07,-0.020978804119181644,kdj_j,20
2026-08,-0.22314699665587115,kdj_j,20
2025-01,-0.012196878751500596,boll_pctb,20
2025-02,-0.028141731083267674,boll_pctb,20
2025-03,0.07935288401074717,boll_pctb,20
2025-04,-0.24201308693459225,boll_pctb,20
2025-05,0.06652674303533461,boll_pctb,20
2025-06,-0.0015366146458583511,boll_pctb,20
2025-07,-0.03033791132325023,boll_pctb,20
2025-08,0.06939793260664907,boll_pctb,20
2025-09,-0.06860802002617626,boll_pctb,20
2025-10,-0.05611387948035235,boll_pctb,20
2025-11,-0.04637236037825201,boll_pctb,20
2025-12,0.13243144461506876,boll_pctb,20
2026-01,0.096577651024112,boll_pctb,20
2026-02,-0.09989721841549686,boll_pctb,20
2026-03,-0.14101283316288937,boll_pctb,20
2026-04,0.04656195839127762,boll_pctb,20
2026-05,0.06529614265548929,boll_pctb,20
2026-06,-0.17379656036643332,boll_pctb,20
2026-07,-0.2295055140548006,boll_pctb,20
2026-08,-0.22798521728048934,boll_pctb,20
2025-01,0.07684033613445376,macd_norm,20
2025-02,0.035734740619018796,macd_norm,20
2025-03,0.17401017549877093,macd_norm,20
2025-04,-0.27711050890875105,macd_norm,20
2025-05,-0.029572725883881917,macd_norm,20
2025-06,-0.02010564225690276,macd_norm,20
2025-07,0.004865785935649255,macd_norm,20
2025-08,0.02694278334865909,macd_norm,20
2025-09,-0.013954488086327054,macd_norm,20
2025-10,-0.011544546360709947,macd_norm,20
2025-11,-0.1259579209530845,macd_norm,20
2025-12,0.14806604391511638,macd_norm,20
2026-01,-0.02384949442571947,macd_norm,20
2026-02,-0.1509315159820734,macd_norm,20
2026-03,-0.16606635806738382,macd_norm,20
2026-04,0.03313856390558496,macd_norm,20
2026-05,0.08581799325900959,macd_norm,20
2026-06,-0.12264343123819399,macd_norm,20
2026-07,0.01276872966277096,macd_norm,20
2026-08,-0.17108229369449338,macd_norm,20
2025-01,-0.3721680672268908,dist_hh60,20
2025-02,-0.18771035644930556,dist_hh60,20
2025-03,0.033853541416566636,dist_hh60,20
2025-04,-0.1880868417294374,dist_hh60,20
2025-05,0.16496738595339774,dist_hh60,20
2025-06,-0.06666506602641056,dist_hh60,20
2025-07,-0.038314346452669575,dist_hh60,20
2025-08,0.06390596897062234,dist_hh60,20
2025-09,-0.03544020585198277,dist_hh60,20
2025-10,0.09727346514139672,dist_hh60,20
2025-11,0.1085016335099874,dist_hh60,20
2025-12,-0.05250185589654002,dist_hh60,20
2026-01,0.21875486129115895,dist_hh60,20
2026-02,0.09282288232897515,dist_hh60,20
2026-03,-0.07726404723260752,dist_hh60,20
2026-04,-0.198584967073521,dist_hh60,20
2026-05,0.21108806499006139,dist_hh60,20
2026-06,0.06809820116794449,dist_hh60,20
2026-07,-0.2760698385717608,dist_hh60,20
2026-08,0.013793982325773517,dist_hh60,20
2025-01,-0.004590636254501795,vol_ratio,20
2025-02,0.02534898079908581,vol_ratio,20
2025-03,-0.011892757102841142,vol_ratio,20
2025-04,-0.03520502259817393,vol_ratio,20
2025-05,-0.04076642784043074,vol_ratio,20
2025-06,-0.04036494597839135,vol_ratio,20
2025-07,-0.05907105190840039,vol_ratio,20
2025-08,0.008006760457642308,vol_ratio,20
2025-09,0.015559914358798386,vol_ratio,20
2025-10,-0.017723317973674865,vol_ratio,20
2025-11,-0.050294109054661286,vol_ratio,20
2025-12,0.03848133848057385,vol_ratio,20
2026-01,-0.05166580243712728,vol_ratio,20
2026-02,-0.0403440868180303,vol_ratio,20
2026-03,0.00848638653147182,vol_ratio,20
2026-04,-0.01297106036827326,vol_ratio,20
2026-05,0.03105824907095325,vol_ratio,20
2026-06,-0.002182179586898285,vol_ratio,20
2026-07,-0.042910967855142645,vol_ratio,20
2026-08,-0.045112781954887216,vol_ratio,20
2025-01,-0.2028043217286915,turnover_rel,20
2025-02,-0.0006986934899053695,turnover_rel,20
2025-03,-0.061032412965186064,turnover_rel,20
2025-04,-0.040967870412564916,turnover_rel,20
2025-05,-0.026407809886490385,turnover_rel,20
2025-06,-0.07745498199279713,turnover_rel,20
2025-07,-0.08122317476563676,turnover_rel,20
2025-08,-0.026264668583731304,turnover_rel,20
2025-09,-0.019419812246291954,turnover_rel,20
2025-10,-0.02417669972189846,turnover_rel,20
2025-11,-0.09705070009457978,turnover_rel,20
2025-12,0.08688599257234655,turnover_rel,20
2026-01,-0.04640264454239046,turnover_rel,20
2026-02,-0.14420904477943627,turnover_rel,20
2026-03,-0.07171901303782212,turnover_rel,20
2026-04,-0.11035151935142094,turnover_rel,20
2026-05,0.18767464638608014,turnover_rel,20
2026-06,0.02743311480672124,turnover_rel,20
2026-07,-0.2074611852814753,turnover_rel,20
2026-08,-0.11794975457345878,turnover_rel,20
2025-01,0.1357310924369748,turnover_rate,20
2025-02,-0.07476039141701232,turnover_rate,20
2025-03,-0.42140513348196423,turnover_rate,20
2025-04,-0.1447687264787692,turnover_rate,20
2025-05,-0.13122466867974997,turnover_rate,20
2025-06,-0.01688355342136854,turnover_rate,20
2025-07,0.026574363090941053,turnover_rate,20
2025-08,-0.038104212895680695,turnover_rate,20
2025-09,-0.030030953524862018,turnover_rate,20
2025-10,-0.27013254243344664,turnover_rate,20
2025-11,-0.20095605964494462,turnover_rate,20
2025-12,0.3661918811297912,turnover_rate,20
2026-01,0.08276834327197304,turnover_rate,20
2026-02,-0.18575687988444017,turnover_rate,20
2026-03,-0.25642123796304594,turnover_rate,20
2026-04,0.29902861558138616,turnover_rate,20
2026-05,0.0246953590873736,turnover_rate,20
2026-06,-0.3302961838092769,turnover_rate,20
2026-07,-0.19104657750526202,turnover_rate,20
2026-08,-0.2548393192214903,turnover_rate,20
2025-01,0.29153421368547416,vol20,20
2025-02,0.01827212693545923,vol20,20
